incident_number,assignment_group,status,resolution_notes,MTTR,Priority,created_date,incident_description
INC100000,LCH - Service2 - Support,Completed,Access: MFA reset completed for user login.,12.23,P4,2020-01-05,intern unable to log into data warehouse from London office environment. Technology election kitchen.
INC100001,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,4.89,P4,2020-01-05,IT support experienced software crash while accessing SSO at HR portal. End customer soon apply.
INC100002,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,14.16,P4,2020-01-05,finance user faced timeout error in VPN client queries run from London office. Lead seem who majority.
INC100003,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,12.16,P4,2020-01-05,intern reported network disruption at London office affecting VPN client. Certainly offer wait.
INC100004,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,0.88,P4,2020-01-05,developer reported network disruption at HR portal affecting email gateway. Since doctor make fill than heart.
INC100005,LCH - Service2 - Support,Cancelled,Access: New role permissions assigned manually.,15.09,P4,2020-01-05,developer unable to log into email gateway from NY data center environment. Claim cup amount trip.
INC100006,LCH - Service2 - Support,In-Progress,Software: Updated dependency libraries to resolve error.,11.26,P4,2020-01-05,developer experienced software crash while accessing CRM at NY data center. Hard common seem opportunity treatment.
INC100007,LCH - Service2 - Support,Completed,Hardware: Power unit replacement resolved the issue.,14.1,P2,2020-01-05,finance user's device at VPN network showed signs of failure during diagnostics. Boy participant hope ready despite sit.
INC100008,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,7.91,P4,2020-01-05,analyst experienced software crash while accessing data warehouse at VPN network. Cultural many major space paper.
INC100009,LCH - Service2 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,4.47,P4,2020-01-05,manager reported network disruption at HR portal affecting CRM. Computer two thought deal especially term.
INC100010,LCH - Service1 - Support,In-Progress,Hardware: Cleaned fan assembly and updated BIOS.,12.81,P4,2020-01-05,analyst's device at remote session showed signs of failure during diagnostics. Size become weight will.
INC100011,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,14.48,P4,2020-01-05,analyst experienced software crash while accessing CRM at London office. Before create share maybe stand attention.
INC100012,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,21.74,P4,2020-01-05,analyst faced timeout error in SSO queries run from NY data center. A truth decide sure less.
INC100013,LCH - Service2 - Support,Completed,Access: MFA reset completed for user login.,10.42,P4,2020-01-05,finance user unable to log into CRM from remote session environment. Who available poor feeling.
INC100014,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,8.0,P3,2020-01-05,developer reported network disruption at NY data center affecting email gateway. Result impact last military special authority.
INC100015,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,5.85,P4,2020-01-05,analyst experienced software crash while accessing email gateway at remote session. Trip truth cultural.
INC100016,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,15.11,P4,2020-01-05,manager unable to log into CRM from HR portal environment. History score college rather student kid.
INC100017,LCH - Service1 - Support,Cancelled,Access: MFA reset completed for user login.,1.63,P4,2020-01-05,manager unable to log into email gateway from HR portal environment. During every year lead.
INC100018,LCH - Service2 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,14.09,P4,2020-01-05,finance user reported network disruption at remote session affecting VPN client. Each field describe.
INC100019,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,5.34,P4,2020-01-05,analyst unable to log into data warehouse from VPN network environment. Alone candidate environment store everybody all there.
INC100020,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,2.49,P4,2020-01-05,manager faced timeout error in VPN client queries run from HR portal. His chair fill.
